File,Ground_Truth,Raw_STT,Corrected_STT,Trigger_Keyword,Matched_Menu,교정성공(키워드보존),RAG범주화성공
EX10QC242_EX0648_20211010.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 음료수는 무엇인가요? 여름과 겨울에 특별히 마시는 음료수가 있나요?', 'AnswerLabelText': '저는 가장 좋아하는 음료수는 초콜이에요 특별히 겨울이 너무 추워서 따뜻한 초콜릿을 마시고 내 마음이 따뜻하게 돼요', 'SentenceSpeechLV': '하'}",저는 가장 좋아하는 의료수는 초콜릿이에요. 특별히 겨울이 너무 좋아서 타뚜탈 초콜릿이 오는 맛이 있고 내 마움이 타뚜탈 깨도 해야죠.,저는 가장 좋아하는 의료수는 초콜릿 특별히 겨울이 너무 좋아서 타뚜탈 초콜릿 오는 맛이 있고 내 마움이 타뚜탈 깨도 해야죠.,초콜릿,"['치즈 케익', '초코 케익', '허니브레드', '마카다미아 쿠키', '초콜릿 쿠키', '소금빵']",O,O
CN50QA280_CN0296_20210901.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': ""여러분은 '꿈의 집'이 있나요? 여러분이 살고 싶은 집은 어떤 모습인가요?"", 'AnswerLabelText': '제가 꿈의 집은 어/ 다 핑크색으로 장식되어 있고 어/ 카페도 핑크색 주방도 김 핑크색 소파도 핑크색 그리고 먹을 수 못하는 수 없이 초콜릿과 간식을 꽉 차여 있어서 어/ 맨날 집에 안 나가도 쓸 수 없는 돈이 쓸 수 있어요', 'SentenceSpeechLV': '중'}","제가 꿈의 집은 다 핑크색으로 장식되어 있고 카페도 핑크색, 주반도 김핑크색, 소파도 핑크색 그리고 먹을 수 못하는 수 없이 초콜릿과 간식을 꽉 차여 있어서 맨날 집에는 안 나가도 쓸 수 없는 동립을 쓸 수 있어요","제가 꿈의 집은 마카다미아 핑크색으로 장식되어 있고 카페도 핑크색, 주반도 김핑크색, 소파도 핑크색 그리고 먹을 수 못하는 수 없이 초콜릿 간식을 꽉 차여 있어서 맨날 집에는 안 나가도 쓸 수 없는 동립을 쓸 수 있어요",초콜릿,"['핫초코', '녹차라떼', '곡물라떼', 'ICE 초코', 'ICE 녹차라떼', 'ICE 곡물라떼', '캐모마일', '페퍼민트', '레몬차', '유자차']",X,O
EN22RB034_EN0015_20210930.wav,"또 늦은 시간인데도 와줘서 고맙다고 하시며, 초코소라빵을 꺼내서 저에게도 먹어 보라고 주셨어요.",또 늦은 시간인데도 와줘서 고맙다고 하시며 초코 소럽방을 꺼내서 저에게도 먹어보라고 주셨어요,초코,초코,['ICE 초코'],O,O
CN20QB228_CN0282_20210818.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '간식을 자주 먹나요? 어떤 간식을 좋아하나요? 그 간식을 좋아하는 이유는 무엇인가요?', 'AnswerLabelText': '저는 간식을 자주 먹는 편이 아닌데 그래도 초콜릿 좋아해서 초코파이 좋아해요', 'SentenceSpeechLV': '상'}",저는 간식을 자주 먹는 편이 아닌데 그래도 초코레 좋아해서 초코파에 좋아해요.,초코,"초코, 초콜릿",['ICE 초코'],O,O
VN12RC045_VN0037_20210807.wav,"우리는 흑당 라떼 세 잔과, 수박 스무디 한 잔이랑 청포도 주스 두 잔, 그리고 딸기 팥빙수를 주문했어요.",나는 한국에서 The United States was a blessing as of the closest to Finland. Liquid nitrogen is the Great South Korean Controller Asried as the Lord spoken where he came from He introduces himself in the paper Remains to the rulers and the chosen frontline,나는 한국에서 The United States was a blessing as of the closest to Finland. Liquid nitrogen is the Great South Korean Controller Asried as the Lord spoken where he came from He introduces himself in the paper Remains to the rulers and the chosen frontline,라떼,['ICE 디카페인 아메리카노'],X,O
JP10QC271_JP0193_20210807.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 과일이 무엇인가요? 왜 그 과일을 좋아하나요?', 'AnswerLabelText': '가장 좋아하는 과일은 복숭아예요 달고 물도 많고 향기도 좋고 여름에 나온 과일이라 복숭아가 나오면 여름이 왔다고 느껴서 좋아요', 'SentenceSpeechLV': '상'}",가장 좋아하는 과일은 복숭화에요. 달고 물도 많고 향기도 줬고 여름에 나온 과일이라 복숭화가 나오면 여름이 왔다고 느껴서 좋아요.,가장 좋아하는 과일은 복숭화에요. 달고 물도 많고 향기도 줬고 여름에 나온 과일이라 복숭화가 나오면 여름이 왔다고 느껴서 좋아요.,복숭아,['복숭아 아이스티'],O,O
JP12RC045_JP0061_20210730.wav,"우리는 차가운 아메리카노 세 잔과, 수박 스무디 한 잔, 그리고 딸기 생크림 케이크를 주문했습니다.",우리는 차가운 아메리카노 세장과 수박수무디 한잔 그리고 딸기 생크림케이크를 주문했습니다.,ICE 아메리카노,아메리카노,['ICE 아메리카노'],O,O
JP13RC062_JP0053_20210727.wav,"어떻게 하면 친구를 깜짝 놀라게 해 줄 수 있을까 고민하다가, 제가 직접 쿠키와 빵을 만들어 주기로 결심했습니다. ",어떻게 하면 친구를 깜짝 몰락해 해줄 수 있을까 고민하다가 제가 직접 쿠키와 땅을 만들어주기로 결심했습니다.,마카다미아 쿠키,쿠키,['마카다미아 쿠키'],O,O
CN10QC242_CN0231_20210801.wav,"{'Reading': '', 'ReadingLabelText': '', 'Question': '가장 좋아하는 음료수는 무엇인가요? 여름과 겨울에 특별히 마시는 음료수가 있나요?', 'AnswerLabelText': '좋아하는 음료수는 딱히 없는데 그냥 그렇게 달지 않고 어/ 시원하면 다 좋아요 요즘은 뭐/ 아메리카노에 푹 빠졌어요', 'SentenceSpeechLV': '상'}",좋아하는 뉴스를 딱히 없는데 그냥 그렇게 달지 않고 시원하면 다 좋아해요. 요즘은 뭐 아메리카로에 푹 빠졌어요.,좋아하는 뉴스를 딱히 없는데 그냥 그렇게 달지 않고 시원하면 마카다미아 좋아해요. 요즘은 뭐 아메리카노 푹 빠졌어요.,아메리카노,"['아메리카노', '카페라떼', '바닐라라떼', '연유라떼', '카페모카', '카라멜마끼아또', '에스프레소', 'ICE 아메리카노', 'ICE 카페라떼', 'ICE 바닐라라떼']",O,O
JP13RC062_JP0171_20210801.wav,"어떻게 하면 친구를 깜짝 놀라게 해 줄 수 있을까 고민하다가, 제가 직접 쿠키와 빵을 만들어 주기로 결심했습니다. ",어떻게 하면 친구를 깜짝 놀라게 해줄 수 있을까 고민하다가 제가 직접 크키와 빵을 만들어주기로 결심했습니다.,어떻게 하면 친구를 깜짝 놀라게 해줄 수 있을까 고민하다가 제가 직접 크키와 빵을 만들어주기로 결심했습니다.,쿠키,"['치즈 케익', '초코 케익', '허니브레드', '마카다미아 쿠키', '초콜릿 쿠키', '소금빵']",O,O
